분야,분야 내 카테고리,서브 카테고리,순위,책이름,저자,줄거리,이미지
예술/대중문화,사진,사진이론과 실기,21,권학봉의 프로페셔널 사진조명 강의,권학봉,"“저 사진 어떻게 찍었을까?”“역시 전문가들이라 다르군. 내가 사진을 아무리 좋아해도 어림없겠지?” 광고에 나온 사진들은 근사하다. 가슴이 두근거릴 정도로 멋지다는 느낌이 들 때도 있지만 그뿐이다. 사진에 빠져 300, 400만 원짜리 캐논과 니콘 카메라를 구입하고, 그렇게도 탐나던 전문가용 70만 원짜리 스피드라이트를 구매한 적도 있지만 내가 찍으면 그런 사진은 어림도 없다. 그런데 진짜 그럴까? 결론부터 말하자면 당신이 못하는 게 아니다. 그들이 특별한 것도 아니고 많은 돈이 필요한 것도 아니다. 당신에게는 ‘사진조명’이라는 것을 배울 기회가 없었을 뿐이라고 확언할 수 있다. 조명이 아무리 궁금해도 제대로 가르쳐주는 곳도 배울 곳도 없는 답답한 시스템이 문제라고 생각한다. 사진 기술은 공유되어야 하며, ..",https://bookthumb-phinf.pstatic.net/cover/137/602/13760239.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,22,권학봉의 프로페셔널 사진조명 강의,권학봉,"“저 사진 어떻게 찍었을까?”“역시 전문가들이라 다르군. 내가 사진을 아무리 좋아해도 어림없겠지?” 광고에 나온 사진들은 근사하다. 가슴이 두근거릴 정도로 멋지다는 느낌이 들 때도 있지만 그뿐이다. 사진에 빠져 300, 400만 원짜리 캐논과 니콘 카메라를 구입하고, 그렇게도 탐나던 전문가용 70만 원짜리 스피드라이트를 구매한 적도 있지만 내가 찍으면 그런 사진은 어림도 없다. 그런데 진짜 그럴까? 결론부터 말하자면 당신이 못하는 게 아니다. 그들이 특별한 것도 아니고 많은 돈이 필요한 것도 아니다. 당신에게는 ‘사진조명’이라는 것을 배울 기회가 없었을 뿐이라고 확언할 수 있다. 조명이 아무리 궁금해도 제대로 가르쳐주는 곳도 배울 곳도 없는 답답한 시스템이 문제라고 생각한다. 사진 기술은 공유되어야 하며, ..",https://bookthumb-phinf.pstatic.net/cover/137/602/13760232.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,23,영상문법,최현주,"영상제작의 기본 원리부터 최신 영상기법까지 총망라한영상연출·편집을 위한 이론적·실무적 입문서영상문법은 영상언어를 구성하고 운용하는 데 필요한 규칙을 의미한다. 이러한 규칙은 영상을 연출하고 편집하기 위한 기본적인 지식이다. 효과적인 영상을 제작하기 위해서는 영상의 화면 구성과 영상편집의 제반 원칙에 대한 지식을 총괄적이고 체계적으로 습득할 필요가 있다. 이 책은 화면을 어떻게 구성할지, 구성된 화면을 어떻게 이어 붙일지와 같은 영상문법의 기본 규칙을 고찰하고 이것이 오늘날 어떻게 파괴되고 다양하게 활용되고 있는지 살펴봄으로써 영상제작에서 가장 기본적으로 요구되는 지식을 제공한다.2011년 첫 출간 이후 독자의 관심을 꾸준히 받아온 이 책은 7년 만에 개정판으로 재탄생했다. 영상에 대한 관심과 수요가 증가하는..",https://bookthumb-phinf.pstatic.net/cover/139/829/13982983.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,24,포토뱅크,남일성,- 독자대상 : 사진기능사 필기시험 준비생- 구성 : 이론 - 특징 : 국가기술 자격시험 출제기준에 따름,https://bookthumb-phinf.pstatic.net/cover/137/352/13735223.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,25,드론 사진 강의,박승근,"드론 사진 촬영 전문가의 케이스 스터디로 배우는 퍼펙트 가이드북상용 드론의 출시로 항공촬영은 누구나 도전할 수 있는 취미의 영역까지 확대되었습니다. 하지만 드론과 카메라, 항공역학과 사진 미학이라는 두 가지의 상이한 기기, 시스템의 접점을 이해하지 못한다면 안전한 비행, 좋은 사진을 얻는 것은 그만큼 어렵습니다. 필연적으로 야외 촬영이 될 수밖에 없는 드론 항공촬영에서 안전을 위해 고려할 상황, 빛의 조건, 한 개의 배터리가 보장하는 20분 내외의 비행 동안 최상의 결과물을 얻기 위한 노하우는 어떤 것이 있을까요? DJI 사의 창립 10주년 기념 사진집 『Above the World』에 한국을 대표해 사진을 수록한 드론 항공사진 전문작가의 현장 사례별 노하우를 알려드립니다.Part01은 드론 항공역학의 이론..",https://bookthumb-phinf.pstatic.net/cover/136/422/13642244.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,26,제주 사진관,신은미,"누구나 사진작가가 되는 곳, 제주 사진관!제주도의 아름다운 풍경을 휴대폰 사진으로 찍을 때 누구나 공감하는 게 있다면 “왜 내 사진은 예쁘게 안 나오지?”라는 생각 아닐까요?큰 맘먹고 간 여행에서 예쁜 풍경을 그저 그런 사진으로 남겨서 후회한 경험이 있다면 다음을 체크해보세요.□ 인물 사진을 찍을 때 어디에 서서 찍어야 할지 모르겠다.□ 남들이 다 가는 관광지에서 의무적으로 찍었다.□ 잘 나온다는 카메라 앱은 모두 써봤다.위의 세 가지 중 하나라도 해당된다면 이 책을 집어 드세요!제주 사진관에서는 전문 장비가 없어도 있는 그대로가 사진관이 되는 숨은 장소들을 선정하여, 그곳에서 사진 찍는 방법을 알려드려요. 책을 따라서 여행을 다니다보면 내 폰 안에 제주 사진관이 만들어져 있을 거예요.",https://bookthumb-phinf.pstatic.net/cover/136/077/13607758.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,27,좋은 사진은 어떻게 찍을 것인가?,나카니시 유스케,"비싼 카메라를 사용해도 '좋은 사진'은 찍을 수 없다!비싼 카메라를 사용한다고 해서 좋은 사진을 찍을 수 있는 것은 아닙니다. 비싼 카메라는 사진 촬영을 좀 더 잘 할 수 있게 기계적으로 도와줄 뿐 좋은 사진을 찍어 주지는 않습니다. 그래서 촬영자들이 사진을 찍기 위해 준비하고, 이런 과정을 마친 후 마지막에 셔터를 누르면 카메라는 준비된 장면을 담을 뿐입니다. 촬영자가 이렇게 셔터를 누르기 전까지 준비하는 작업 즉, 인물사진을 찍기 전 더 좋은 모습을 이끌어 내기 위한 의사소통을 진행하고, 풍경사진을 찍을 때도 그 장소의 정보와 날씨 변화를 관찰하면서 최적의 순간을 찾아내는 것. 이렇게 셔터를 누르기 전까지 준비하는 모든 과정이 사진의 완성도를 결정하게 됩니다. 이 책은 이런 부분에 초점을 맞춰 집필되었고..",https://bookthumb-phinf.pstatic.net/cover/135/519/13551913.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,28,스콧 켈비의 플래시 사진 촬영 비법,스콧 켈비,"플래시에 관해 한 주제를 한 페이지 내에서 기법을 설명플래시 사용법을 익히고 최대로 활용한 멋진 플래시 사진 촬영 비법!360명의 사진가들로 꽉 찬 세미나에서 스콧이 질문을 던졌다. “이 중에 외장 플래시를 소유하고 계신 분들이 계시나요?” 약 340명이 손을 들었다. “한 가지 질문을 더 하겠습니다. 하지만 손을 들기 전 질문을 곰곰이 생각해보기 바랍니다.외장 플래시 사용을 좋아하시는 분들이 계신가요?” 360명 중 단 4명만 손을 들었다. 충격적이었다.슬프게도 어느 나라, 어느 도시에서든 결과는 비슷했다. 우리는 모두 “핫슈 플래시 혁명”이 일어났던 2008-2011년 사이에 플래시를 구입했지만, 전혀 활용을 못하고 있다는 의미이다. 우리는 플래시를 사랑하지 않을 뿐만 아니라 심지어 아예 사용을 포기했다..",https://bookthumb-phinf.pstatic.net/cover/135/085/13508551.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,29,인물사진 조명 노하우,로베르토 발렌수엘라,"완벽한 인물사진을 위한 조명 노하우상황광, 보조광, 통제광 활용 비법사진에서 조명은 이미지를 만드는 결정적 요소이자 사진을 이루는 DNA다. 조명은 평범한 장면이나 인물을 특별하고 아름다운 것으로 변화시켜주지만 많은 사진가들이 조명에 관해 명쾌하게 이해하지 못하고 어려움을 겪고 있다. 이 책은 창조적 인물사진을 만드는 빛을 이야기한다. 저자는 빛을 상황광, 보조광 그리고 통제광으로 구분하고 빛의 일반적인 법칙과 빛의 다섯 가지 핵심적인 작용을 설명한다. 또 상황광 요소들 10가지 개념을 통해 어떤 상황에서라도 주변의 빛을 검토하고 읽어내며 완벽한 인물사진을 만드는 비법을 소개한다. 그리고 저자가 창안해낸 조명 벤치마크 테스트는 보조광을 언제 만들면 좋을지 판단하는 데 도움을 준다. 산광판, 반사판, 플래시,..",https://bookthumb-phinf.pstatic.net/cover/134/977/13497793.jpg?type=m5
예술/대중문화,사진,사진이론과 실기,30,"발터 벤야민, 사진에 대하여",발터 벤야민,"사진의 가능성에 세계의 미래를 건, 발터 벤야민!현대 철학과 미학의 선구자 발터 벤야민이 사진에 대해 쓴 글들을 모으고, 벤야민 연구자 에스터 레슬리의 해석을 붙인 『발터 벤야민, 사진에 대하여』. 탁월한 사진 비평가이자 이론가, 사진으로 경험하는 새로운 지각을 문체로 구현한 철학적 사진작가, 어린 시절 엽서를 장식한 사진에 매료된 사진 수집가 벤야민을 만날 수 있다. 벤야민에게 사진이란 당대 기술과 예술이 집약된 새로운 매체이자 정치적 전망의 창이었다. 벤야민은 사진이 인간 지각의 한계를 뛰어넘어 현실을 효과적으로 재현하고 인식하게 해 주는 것은 물론이고, 나아가 사진에 찍히는 현실이 눈이 보는 현실과 다른 층위들로 이루어져 있다고 보았다. 강경한 사진 반대론자였던 보들레르에 비해, 벤야민은 기존 예술이 ..",https://bookthumb-phinf.pstatic.net/cover/134/453/13445380.jpg?type=m5
